ID-1,Voc,Jsc,PCE,FF,D_V0,D_J0,AB,contact_angle,PLQY_perov,PLQY_glass,t1_perov,t2_perov,t1_glass,t2_glass
26,0.9637213477056992,21.108500000000003,14.880799999999988,0.7315052167195881,1.018460750579834,311.75836181640625,"('A26', 'B1')",94.7,0.5864178362599963,1.3171984903144236,2.60859812213055,6.01200219832553,2.3896797998449792,5.367703494033044
27,0.8882126080017356,19.962333333333333,13.935613333333322,0.7859553070276891,0.5333954095840454,339.7156066894531,"('A27', 'B1')",92.9,0.5943714766633755,0.774005580371138,2.1016921506146558,4.561740628060756,2.668616131856803,4.639088404191552
28,0.9411461894137362,21.298500000000004,15.483599999999988,0.772441923976495,0.5333443284034729,377.0221252441406,"('A28', 'B1')",94.8,0.5250093044350997,1.2752380413604862,2.0149030205422647,5.718572560128837,2.7107133185216936,5.086731764067556
29,0.906489838115277,20.820000000000004,14.564386666666657,0.771700062235351,0.6533699631690979,370.0816650390625,"('A29', 'B1')",96.7,0.7210836770697298,1.235692449542688,1.780024213009634,5.852001310115928,2.7517480563679295,5.094240877951052
30,0.939457021825418,19.5201666666667,14.0970666666667,0.76872023884106,0.9627365469932556,307.4132385253906,"('A30', 'B1')",93.3,0.6036964626394389,1.209323566569667,2.3896797998449792,6.249589067317437,2.5937610547000824,5.54502118227126
31,0.9156974717140304,21.64416666666667,13.545986666666655,0.683467328872346,1.118086338043213,252.6215362548828,"('A1', 'B2')",86.6,0.385027296491453,0.3335586896042941,4.610555658264429,6.229339063022186,2.8160073426073025,5.524257005164247
32,0.930946549370994,17.379833333333337,10.795090666666658,0.6671998505531895,1.5501980781555176,186.1217269897461,"('A2', 'B2')",89.6,0.804320620584203,1.7570067699692986,2.740840023925201,6.424690726001537,3.0281994636914926,5.656586039825227
33,0.801191025337596,14.2713333333333,8.47198399999999,0.740942490962632,0.7457088493817562,207.37144470214844,"('A3', 'B2')",92.0,0.8960278705264125,1.6862821950864693,3.5959414584546674,6.080207756942371,3.0041963519661206,5.729710096666117
34,0.8341259555726195,14.62915,8.225914666666657,0.6741141939154506,1.7948462963104248,155.2179718017578,"('A6', 'B2')",83.5,0.7974317363095113,1.9995941413209808,2.489064659936664,6.6508480975151185,2.378619779270043,6.057860716747665
35,0.9180557297271424,17.698,11.266189333333324,0.6933999551966736,1.167419672012329,192.4375534057617,"('A7', 'B2')",84.3,0.7615925447185049,2.162432876791471,6.080116244702545,6.834894221414897,3.6826098411003407,5.750952279132591
36,0.8762722538827455,16.1139,9.51807599999999,0.6740768985416637,1.5899317264556885,177.66534423828125,"('A8', 'B2')",83.2,0.7118428905033934,0.5829520688759136,2.4807312783775197,5.844268792289402,2.3115448343655176,5.4169888962655355
37,0.9432954726266604,20.766666666666666,13.757139999999987,0.7022853597254757,1.1919080018997192,259.0177001953125,"('A10', 'B2')",75.9,0.887676372309389,1.7803726717896116,1.264126727145683,6.855450947352848,2.367436065313662,5.953139432786314
38,0.93614673253333,18.909,12.090738666666656,0.683030892489554,1.431490778923035,216.8745346069336,"('A11', 'B2')",82.9,0.7377245830541187,2.09359418077698,2.462149662665384,6.974291802782381,3.151025157960026,6.351757936569426
39,0.827149806860096,11.3421166666667,6.06779866666666,0.646774485752231,1.8470876216888428,117.78759002685548,"('A12', 'B2')",86.0,0.6013399666546435,0.5563046279055263,2.278292400425001,5.63913728116267,2.6871669901857858,5.372960909543803
40,0.9269653529159012,19.77133333333333,13.354593333333325,0.7286705336695368,0.9830908179283142,251.69414520263672,"('A13', 'B2')",97.4,0.8991782771621643,2.104562889185302,3.58351893845611,6.152115482991541,2.551786178627545,6.007165637334066
41,0.9129249424246538,19.271833333333333,12.567106666666657,0.7142943211260108,1.1217660903930664,232.00569915771484,"('A14', 'B2')",76.5,0.8752656726191291,1.653732361852251,2.5626389983283526,6.152605026980459,3.044998514856909,5.372543188900008
42,0.881758624733483,15.5649666666667,9.39406799999999,0.684472159687382,1.3659489154815674,178.2980194091797,"('A15', 'B2')",86.3,0.8370338308804947,1.644101538904916,3.912023005428146,6.112818975520158,1.851599469584072,6.244069808571811
43,0.8909944790930316,14.49625,8.643179999999994,0.6691798795136102,1.672309398651123,155.67787170410156,"('A17', 'B2')",82.8,0.8590025163408033,1.3555692131772303,2.8414149131696336,6.282472333238322,3.0160249768217535,6.044246732546951
44,0.8921682636459731,20.915166666666668,13.670159999999989,0.7325976102330783,0.7331898808479309,270.1714324951172,"('A18', 'B2')",87.1,0.9898908350624076,1.8194014532065208,1.3428648031925547,6.045431763377924,2.7093826463359885,5.789378962272886
45,0.933489309302586,17.0435,11.435454,0.718762280087576,1.051593780517578,184.454704284668,"('A19', 'B2')",83.8,0.99342365337974,1.6933497866079783,2.696652156149841,6.207220879988174,3.3061538329752613,5.523937847737139
46,0.925887159408354,12.4149166666667,7.69010399999999,0.66900650910837,0.922232985496521,125.3464126586914,"('A20', 'B2')",87.5,0.8260705390730299,1.665170878633118,2.9407479652212314,6.248758285852109,2.514465452029545,5.481680047850402
47,0.849645462734099,14.9288333333333,7.70529999999999,0.607471545765693,1.0058822631835938,83.66973495483398,"('A21', 'B2')",92.0,0.8251077128769112,1.3430213739587231,1.9768549529047348,6.169966317799071,2.468099531471619,5.915501008300943
48,0.864915531575342,18.5568333333333,11.21532,0.6987697668576,1.054625153541565,235.4025421142578,"('A22', 'B2')",89.6,0.7941459476611484,2.0633694295899776,2.528125768907977,6.428654394910388,5.8821238989988345,6.338965034125509
49,0.8247928322846068,16.273633333333333,9.212330666666656,0.6863412691188064,1.0742616653442385,187.12191009521484,"('A23', 'B2')",90.2,0.8553089818143494,1.5929412867612838,2.4664031782234406,6.447036412613682,2.331172549845958,5.9406448247780075
50,0.820647003133021,15.5156333333333,8.55982933333332,0.672263001405067,1.7791378498077393,174.0285186767578,"('A24', 'B2')",85.1,0.8292667144846438,1.646602939804419,2.180417459019838,6.238266029572827,2.1162555148025524,5.622500110036512
51,0.8446735720668319,12.368950000000002,7.306463999999993,0.6993353935586811,0.8376029133796692,165.94361114501953,"('A27', 'B2')",44.1,0.430733039789863,0.8542109172598732,2.8195915758351173,4.999304677753871,3.279029747687948,5.100110300523858
52,0.9012439928317748,18.618,12.383159999999988,0.7379995133304443,0.3734071552753448,244.9143829345703,"('A28', 'B2')",27.1,0.5866832086119395,1.6134619067393283,2.866192902199006,6.1889209914862064,3.795713883027763,6.3551523434145
53,0.962954783550635,14.74635,10.3756,0.730672543325574,1.0907914638519287,165.0103759765625,"('A29', 'B2')",76.2,0.6744272126586979,1.7125849884552415,4.997212273764115,6.729190656065888,2.3233676321765744,6.028085730563627
54,1.00030267935111,23.4831666666667,18.15702,0.772959037661726,0.5475579500198364,340.85223388671875,"('A30', 'B2')",59.8,0.850130209990933,1.6830288468937555,3.9064072666425105,6.215827354826921,2.8814431271518632,6.425371328847449
55,0.9448904551546132,20.002,14.121939999999988,0.7472044971019796,0.2395762056112289,255.71453094482425,"('A31', 'B2')",103.8,0.467163662213274,0.7907534262147138,1.5973653311998313,6.287282185911616,1.6094379124341003,5.784594117392615
56,0.8726866332664335,20.707833333333333,13.718399999999988,0.7591200756143289,0.0761139094829559,280.4857482910156,"('A32', 'B2')",80.3,0.8186793174953579,1.5217673470852242,2.3702437414678603,6.3999251641959445,2.9882040071331994,6.1786492595679245
57,0.8695659513972184,20.593833333333333,13.307039999999986,0.7430905570063924,0.3462651669979095,262.7627716064453,"('A33', 'B2')",82.9,0.698229291132598,1.516902916021092,4.447111881329816,6.501965118050027,3.3439213138424253,6.282378890140428
58,1.0159047563158357,22.38653846153846,18.19932692307692,0.8002310292033326,0.4010657370090484,298.6084289550781,"('A30', 'B3')",90.9,0.6206982125609989,1.7608352627165196,1.5789787049493917,6.670943744902507,3.912023005428146,6.587343381907437
